id,completion,matched,check_manually,manipulated,matched_new
6, gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.,Bündnis Grünen,0,0,Bündnis Grünen
7, meine Stimme der SPD gegeben und meine Zweitstimme der Grünen Party.,SPD Grünen,1,1,Grünen
15," gewählt.

Ich habe 2017 für Die Linke gewählt.",Linke,0,0,Linke
18," gewählt.

Ich habe meine Zweitstimme der FDP gegeben.",FDP,0,0,FDP
18, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
20, meine Stimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
22, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge,NA,0,0,NA
22, nicht gewählt.,nicht,1,0,nicht
23, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
24,2017 zur Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU ge,CDU/CSU,0,0,CDU/CSU
29, nicht gewählt.,nicht,1,0,nicht
30, mit meiner ersten Stimme gewählt und mit meiner zweiten Stimme die Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
30, 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
30, 2017 nicht gewählt.,nicht,1,0,nicht
36, bei der Bundestagswahl 2017 nicht gewählt.,nicht,1,0,nicht
36," gewählt.

Ich habe 2017 meine Zweitstimme der Partei Bündnis 90/Die",Bündnis,0,0,Bündnis
37, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
39, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege,CDU/CSU,0,0,CDU/CSU
44, bei der Bundestagswahl 2017 meine Zweitstimme der AfD gegeben.,AfD,0,0,AfD
46, meine Stimme der SPD gegeben.,SPD,0,0,SPD
47, nicht gewählt.,nicht,1,0,nicht
50, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege,Linke,0,0,Linke
51," gewählt.

Ich habe bei der Bundestagswahl 2017 die FDP gewählt und",FDP,0,0,FDP
55, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
55, meine Stimme der Partei CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
56," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z",NA,0,0,NA
59, meine Stimme abgegeben. Meine Zweitstimme habe ich der Union (CDU/CSU) ge,Union CDU/CSU,0,0,Union CDU/CSU
59, meine Zweitstimme der CDU/CSU gegeben.,CDU/CSU,0,0,CDU/CSU
64, bei der Bundestagswahl 2017 meine Erststimme der AfD und meine Zweitstimme der CDU ge,Erststimme AfD CDU,1,1,CDU
65, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU,CDU/CSU,0,0,CDU/CSU
68," gewählt.

Ich habe bei der Bundestagswahl 2017 für die SPD meine Erst-",SPD,0,0,SPD
68, 2017 gewählt und meine Zweitstimme der Partei Die Grünen gegeben.,Grünen,0,0,Grünen
69,2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei [INSERT]ge,NA,0,0,NA
70, meine Erststimme der FDP und meine Zweitstimme der CDU gegeben.,Erststimme FDP CDU,1,1,CDU
75, 2017 meine Erststimme der SPD und meine Zweitstimme der Grünen gegeben.,Erststimme SPD Grünen,1,1,Grünen
79, 2017 bei der Bundestagswahl gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
80, meine Stimme der SPD gegeben.,SPD,0,0,SPD
