id,age,female,edu,emp,hhincome,east,religious,leftright,partyid,partyid_degree,party,inequality,immigration,vote,inequality_A,age_text,female_text,edu_text,hhincome_text,emp_text,religious_text,leftright_text,party_text,east_text,immigration_text,inequality_text,prompt_A,sample_no,completion,matched,check_manually,manipulated,matched_new
3,64,weiblich,Abitur,berufstätig,mittleres,Westdeutschland,sehr religiös,NA,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte keine Maßnahmen ergreifen",Ich bin 64 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin berufstätig. ,Ich bin sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1, im Jahr 2017 nicht gewählt.,nicht,1,0,nicht
3,64,weiblich,Abitur,berufstätig,mittleres,Westdeutschland,sehr religiös,NA,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte keine Maßnahmen ergreifen",Ich bin 64 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin berufstätig. ,Ich bin sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU gegeben.,CDU,0,0,CDU
3,64,weiblich,Abitur,berufstätig,mittleres,Westdeutschland,sehr religiös,NA,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte keine Maßnahmen ergreifen",Ich bin 64 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin berufstätig. ,Ich bin sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4, bei der Bundestagswahl 2017 gewählt. Ich habe meine Zweitstimme der Union (CDU,Union CDU,0,0,Union CDU
3,64,weiblich,Abitur,berufstätig,mittleres,Westdeutschland,sehr religiös,NA,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte keine Maßnahmen ergreifen",Ich bin 64 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin berufstätig. ,Ich bin sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5, wählen für die Bundestagswahl 2017. Ich habe meine Zweitstimme der CDU gegeben,CDU,0,0,CDU
8,41,männlich,einen Hochschulabschluss,berufstätig,NA,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,ziemlich schwach ,ziemlich schwach mit der Partei FDP,Maßnahmen ergreifen,weder erleichtern noch einschränken,FDP,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 41 Jahre alt. ,Ich bin männlich. ,Ich habe einen Hochschulabschluss. ,,Ich bin berufstätig. ,Ich bin überhaupt nicht religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich schwach mit der Partei FDP. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1, 2017 gewählt und meine Zweitstimme der FDP gegeben.,FDP,0,0,FDP
8,41,männlich,einen Hochschulabschluss,berufstätig,NA,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,ziemlich schwach ,ziemlich schwach mit der Partei FDP,Maßnahmen ergreifen,weder erleichtern noch einschränken,FDP,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 41 Jahre alt. ,Ich bin männlich. ,Ich habe einen Hochschulabschluss. ,,Ich bin berufstätig. ,Ich bin überhaupt nicht religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich schwach mit der Partei FDP. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Grünen Partei gege,Grünen,0,0,Grünen
8,41,männlich,einen Hochschulabschluss,berufstätig,NA,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,ziemlich schwach ,ziemlich schwach mit der Partei FDP,Maßnahmen ergreifen,weder erleichtern noch einschränken,FDP,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 41 Jahre alt. ,Ich bin männlich. ,Ich habe einen Hochschulabschluss. ,,Ich bin berufstätig. ,Ich bin überhaupt nicht religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich schwach mit der Partei FDP. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
8,41,männlich,einen Hochschulabschluss,berufstätig,NA,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,ziemlich schwach ,ziemlich schwach mit der Partei FDP,Maßnahmen ergreifen,weder erleichtern noch einschränken,FDP,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 41 Jahre alt. ,Ich bin männlich. ,Ich habe einen Hochschulabschluss. ,,Ich bin berufstätig. ,Ich bin überhaupt nicht religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich schwach mit der Partei FDP. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4, gewählt und meine Zweitstimme an die Grünen gegeben.,Grünen,0,0,Grünen
8,41,männlich,einen Hochschulabschluss,berufstätig,NA,Westdeutschland,überhaupt nicht religiös,in der Mitte,mit der Partei FDP,ziemlich schwach ,ziemlich schwach mit der Partei FDP,Maßnahmen ergreifen,weder erleichtern noch einschränken,FDP,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 41 Jahre alt. ,Ich bin männlich. ,Ich habe einen Hochschulabschluss. ,,Ich bin berufstätig. ,Ich bin überhaupt nicht religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich schwach mit der Partei FDP. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis90,Bündnis90,0,0,Bündnis90
10,19,weiblich,Abitur,berufstätig,NA,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",weder erleichtern noch einschränken,Nicht gewählt,"habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte",Ich bin 19 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,,Ich bin berufstätig. ,Ich bin nicht sehr religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mäßig mit der Partei CDU/CSU. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. ","Ich bin 19 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90,Bündnis,0,0,Bündnis
