"","id","completion","matched","check_manually","manipulated","matched_new","id_sampleno","age","female","edu","emp","hhincome","east","religious","leftright","partyid","partyid_degree","party","inequality","immigration","vote","imputed","prompt","sample_no","completion_1","matched_1","check_manually_1","manipulated_1","matched_new_1","resampled"
"1",3," bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme ging an die FDP.","FDP",0,0,"FDP","3_3",64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös","in der Mitte","mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU",1,"Ich bin 64 Jahre alt und weiblich. Ich habe Abitur, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," Partei meine Zweitstimme gegeben.",NA,0,0,NA,1
"2",6," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0,0,"Bündnis Grünen","6_5",58,"männlich","einen Hochschulabschluss","berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig links","mit der Partei Bündnis 90/Die Grünen","ziemlich stark ","ziemlich stark mit der Partei Bündnis 90/Die Grünen","Maßnahmen ergreifen","weder erleichtern noch einschränken","Bündnis 90/Die Grünen",0,"Ich bin 58 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5," Partei meine Zweitstimme gegeben.",NA,0,0,NA,1
"3",7," meine Stimme der SPD gegeben und meine Zweitstimme der Grünen Party.","SPD Grünen",1,1,"Grünen","7_4",66,"weiblich","einen Realschulabschluss","nicht berufstätig","mittleres","Westdeutschland","überhaupt nicht religiös","mittig links","mit der Partei SPD","ziemlich stark ","ziemlich stark mit der Partei SPD","Maßnahmen ergreifen","erleichtern","SPD",0,"Ich bin 66 Jahre alt und weiblich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin nicht berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich mittig links ein. Ich identifiziere mich ziemlich stark mit der Partei SPD. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",4," gewählt.

Ja, Sie haben bei der Bundestagswahl 2017 gewählt. Ih",NA,0,0,NA,1
"4",8," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei FDP gegeben","FDP",0,0,"FDP","8_1",41,"männlich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP",1,"Ich bin 41 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," gewählt und meine Zweitstimme der [INSERT] gegeben.",NA,0,0,NA,1
"5",8," nicht gewählt.","nicht",1,0,"nicht","8_2",41,"männlich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP",1,"Ich bin 41 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2," gewählt.",NA,0,0,NA,1
"6",8," gewählt.

Ich habe für die FDP gewählt.","FDP",0,0,"FDP","8_5",41,"männlich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP",1,"Ich bin 41 Jahre alt und männlich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5," gewählt.",NA,0,0,NA,1
"7",10," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Grünen ge","Grünen",0,0,"Grünen","10_3",19,"weiblich","Abitur","berufstätig","niedriges","Westdeutschland","nicht sehr religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte","weder erleichtern noch einschränken","Nicht gewählt",1,"Ich bin 19 Jahre alt und weiblich. Ich habe Abitur, ein niedriges monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken und habe keine Meinung dazu, ob die Regierung Maßnahmen ergreifen sollte, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme an die PARTEI FÜ",NA,0,0,NA,1
"8",15," gewählt.

Ich habe 2017 für Die Linke gewählt.","Linke",0,0,"Linke","15_3",26,"männlich","einen Realschulabschluss","in Ausbildung","mittleres","Westdeutschland","etwas religiös","stark links","mit der Partei Die Linke","mäßig ","mäßig mit der Partei Die Linke","Maßnahmen ergreifen","erleichtern","Bündnis 90/Die Grünen",0,"Ich bin 26 Jahre alt und männlich. Ich habe einen Realschulabschluss, ein mittleres monatliches Haushalts-Nettoeinkommen und ich bin in Ausbildung. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich stark links ein. Ich identifiziere mich mäßig mit der Partei Die Linke. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern und Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," [PARTY] meine Zweitstimme gegeben.",NA,0,0,NA,1
"9",18," gewählt.

Ich habe meine Zweitstimme der FDP gegeben.","FDP",0,0,"FDP","18_1",44,"weiblich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","keine Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 44 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1," mit meiner Zweitstimme gewählt.",NA,0,0,NA,1
"10",18," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0,0,"CDU/CSU","18_3",44,"weiblich","einen Hochschulabschluss","berufstätig","hohes","Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei CDU/CSU","mäßig ","mäßig mit der Partei CDU/CSU","keine Maßnahmen ergreifen","einschränken","CDU/CSU",0,"Ich bin 44 Jahre alt und weiblich. Ich habe einen Hochschulabschluss, ein hohes monatliches Haushalts-Nettoeinkommen und ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken und keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3," 2017 für die CDU/CSU meine Erststimme und meine Zweitstimme gegeben.","CDU/CSU Erststimme",1,1,NA,1
