"id","completion","matched","check_manually","age","female","edu","emp","hhincome","east","religious","leftright","partyid","partyid_degree","party","inequality","immigration","vote","inequality_A","age_text","female_text","edu_text","hhincome_text","emp_text","religious_text","leftright_text","party_text","east_text","immigration_text","inequality_text","prompt_A"
3," im Jahr 2017 nicht gewählt.","nicht",1,64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös",NA,"mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU","finde, die Regierung sollte keine Maßnahmen ergreifen","Ich bin 64 Jahre alt. ","Ich bin weiblich. ","Ich habe Abitur. ","Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ","Ich bin berufstätig. ","Ich bin sehr religiös. ","","Ich identifiziere mich mit keiner Partei. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
3," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU gegeben.","CDU",0,64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös",NA,"mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU","finde, die Regierung sollte keine Maßnahmen ergreifen","Ich bin 64 Jahre alt. ","Ich bin weiblich. ","Ich habe Abitur. ","Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ","Ich bin berufstätig. ","Ich bin sehr religiös. ","","Ich identifiziere mich mit keiner Partei. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
3," bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme habe ich der [INSERT","NA",0,64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös",NA,"mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU","finde, die Regierung sollte keine Maßnahmen ergreifen","Ich bin 64 Jahre alt. ","Ich bin weiblich. ","Ich habe Abitur. ","Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ","Ich bin berufstätig. ","Ich bin sehr religiös. ","","Ich identifiziere mich mit keiner Partei. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
3," bei der Bundestagswahl 2017 gewählt. Ich habe meine Zweitstimme der Union (CDU","Union CDU",0,64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös",NA,"mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU","finde, die Regierung sollte keine Maßnahmen ergreifen","Ich bin 64 Jahre alt. ","Ich bin weiblich. ","Ich habe Abitur. ","Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ","Ich bin berufstätig. ","Ich bin sehr religiös. ","","Ich identifiziere mich mit keiner Partei. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
3," wählen für die Bundestagswahl 2017. Ich habe meine Zweitstimme der CDU gegeben","CDU",0,64,"weiblich","Abitur","berufstätig","mittleres","Westdeutschland","sehr religiös",NA,"mit keiner Partei","","mit keiner Partei","keine Maßnahmen ergreifen","weder erleichtern noch einschränken","CDU/CSU","finde, die Regierung sollte keine Maßnahmen ergreifen","Ich bin 64 Jahre alt. ","Ich bin weiblich. ","Ich habe Abitur. ","Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ","Ich bin berufstätig. ","Ich bin sehr religiös. ","","Ich identifiziere mich mit keiner Partei. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
8," 2017 gewählt und meine Zweitstimme der FDP gegeben.","FDP",0,41,"männlich","einen Hochschulabschluss","berufstätig",NA,"Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP","finde, die Regierung sollte Maßnahmen ergreifen","Ich bin 41 Jahre alt. ","Ich bin männlich. ","Ich habe einen Hochschulabschluss. ","","Ich bin berufstätig. ","Ich bin überhaupt nicht religiös. ","Politisch-ideologisch ordne ich mich in der Mitte ein. ","Ich identifiziere mich ziemlich schwach mit der Partei FDP. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
8," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Grünen Partei gege","Grünen",0,41,"männlich","einen Hochschulabschluss","berufstätig",NA,"Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP","finde, die Regierung sollte Maßnahmen ergreifen","Ich bin 41 Jahre alt. ","Ich bin männlich. ","Ich habe einen Hochschulabschluss. ","","Ich bin berufstätig. ","Ich bin überhaupt nicht religiös. ","Politisch-ideologisch ordne ich mich in der Mitte ein. ","Ich identifiziere mich ziemlich schwach mit der Partei FDP. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
8," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0,41,"männlich","einen Hochschulabschluss","berufstätig",NA,"Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP","finde, die Regierung sollte Maßnahmen ergreifen","Ich bin 41 Jahre alt. ","Ich bin männlich. ","Ich habe einen Hochschulabschluss. ","","Ich bin berufstätig. ","Ich bin überhaupt nicht religiös. ","Politisch-ideologisch ordne ich mich in der Mitte ein. ","Ich identifiziere mich ziemlich schwach mit der Partei FDP. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
8," gewählt und meine Zweitstimme an die Grünen gegeben.","Grünen",0,41,"männlich","einen Hochschulabschluss","berufstätig",NA,"Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP","finde, die Regierung sollte Maßnahmen ergreifen","Ich bin 41 Jahre alt. ","Ich bin männlich. ","Ich habe einen Hochschulabschluss. ","","Ich bin berufstätig. ","Ich bin überhaupt nicht religiös. ","Politisch-ideologisch ordne ich mich in der Mitte ein. ","Ich identifiziere mich ziemlich schwach mit der Partei FDP. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
8," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis90","Bündnis90",0,41,"männlich","einen Hochschulabschluss","berufstätig",NA,"Westdeutschland","überhaupt nicht religiös","in der Mitte","mit der Partei FDP","ziemlich schwach ","ziemlich schwach mit der Partei FDP","Maßnahmen ergreifen","weder erleichtern noch einschränken","FDP","finde, die Regierung sollte Maßnahmen ergreifen","Ich bin 41 Jahre alt. ","Ich bin männlich. ","Ich habe einen Hochschulabschluss. ","","Ich bin berufstätig. ","Ich bin überhaupt nicht religiös. ","Politisch-ideologisch ordne ich mich in der Mitte ein. ","Ich identifiziere mich ziemlich schwach mit der Partei FDP. ","Ich lebe in Westdeutschland. ","Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 41 Jahre alt. Ich bin männlich. Ich habe einen Hochschulabschluss. Ich bin berufstätig. Ich bin überhaupt nicht religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich schwach mit der Partei FDP. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]"
