id,age,female,edu,emp,hhincome,east,religious,leftright,partyid,partyid_degree,party,inequality,immigration,vote,inequality_A,age_text,female_text,edu_text,hhincome_text,emp_text,religious_text,leftright_text,party_text,east_text,immigration_text,inequality_text,prompt_A,sample_no,completion,matched,check_manually,manipulated,matched_new
3,64,weiblich,Abitur,berufstätig,mittleres,Westdeutschland,sehr religiös,NA,mit keiner Partei,,mit keiner Partei,keine Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte keine Maßnahmen ergreifen",Ich bin 64 Jahre alt. ,Ich bin weiblich. ,Ich habe Abitur. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin berufstätig. ,Ich bin sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 64 Jahre alt. Ich bin weiblich. Ich habe Abitur. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin berufstätig. Ich bin sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte keine Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3, bei der Bundestagswahl 2017 gewählt. Meine Zweitstimme habe ich der [INSERT,NA,0,0,NA
14,73,weiblich,einen Hauptschulabschluss,nicht berufstätig,NA,Westdeutschland,etwas religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken,Die Linke,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 73 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hauptschulabschluss. ,,Ich bin nicht berufstätig. ,Ich bin etwas religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 73 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge,NA,0,0,NA
14,73,weiblich,einen Hauptschulabschluss,nicht berufstätig,NA,Westdeutschland,etwas religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken,Die Linke,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 73 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hauptschulabschluss. ,,Ich bin nicht berufstätig. ,Ich bin etwas religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 73 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2," Partei gewählt.

Ja, ich habe bei der Bundestagswahl 2017 gewählt",NA,0,0,NA
14,73,weiblich,einen Hauptschulabschluss,nicht berufstätig,NA,Westdeutschland,etwas religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken,Die Linke,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 73 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hauptschulabschluss. ,,Ich bin nicht berufstätig. ,Ich bin etwas religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 73 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3, bei der Bundestagswahl 2017 gewählt und [INSERT] die Zweitstimme gegeben.,NA,0,0,NA
14,73,weiblich,einen Hauptschulabschluss,nicht berufstätig,NA,Westdeutschland,etwas religiös,in der Mitte,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken,Die Linke,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 73 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hauptschulabschluss. ,,Ich bin nicht berufstätig. ,Ich bin etwas religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 73 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich bin nicht berufstätig. Ich bin etwas religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5, bei der Bundestagswahl 2017 gewählt. Ich habe meiner Zweitstimme der Partei [INS,NA,0,0,NA
17,20,weiblich,einen Realschulabschluss,berufstätig,NA,Westdeutschland,nicht sehr religiös,in der Mitte,mit der Partei CDU/CSU,ziemlich stark ,ziemlich stark mit der Partei CDU/CSU,Maßnahmen ergreifen,erleichtern,CDU/CSU,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 20 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Realschulabschluss. ,,Ich bin berufstätig. ,Ich bin nicht sehr religiös. ,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung erleichtern. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 20 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin berufstätig. Ich bin nicht sehr religiös. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich ziemlich stark mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung erleichtern. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",1, tatsächlich bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei,NA,0,0,NA
33,21,weiblich,einen Hauptschulabschluss,in Ausbildung,mittleres,Westdeutschland,nicht sehr religiös,NA,mit keiner Partei,,mit keiner Partei,Maßnahmen ergreifen,einschränken,CDU/CSU,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 21 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hauptschulabschluss. ,Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. ,Ich bin in Ausbildung. ,Ich bin nicht sehr religiös. ,,Ich identifiziere mich mit keiner Partei. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 21 Jahre alt. Ich bin weiblich. Ich habe einen Hauptschulabschluss. Ich habe ein mittleres monatliches Haushalts-Nettoeinkommen. Ich bin in Ausbildung. Ich bin nicht sehr religiös. Ich identifiziere mich mit keiner Partei. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",3, bei der Bundestagswahl 2017 gewählt und meine Zweitstimme einer Partei gegeben.,NA,0,0,NA
34,51,weiblich,einen Realschulabschluss,berufstätig,NA,Westdeutschland,etwas religiös,NA,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,einschränken,SPD,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 51 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Realschulabschluss. ,,Ich bin berufstätig. ,Ich bin etwas religiös. ,,Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 51 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin berufstätig. Ich bin etwas religiös. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2, bei der Bundestagswahl 2017 gewählt. Ich habe meine Zweitstimme der Partei Bü,NA,0,0,NA
34,51,weiblich,einen Realschulabschluss,berufstätig,NA,Westdeutschland,etwas religiös,NA,mit der Partei Bündnis 90/Die Grünen,mäßig ,mäßig mit der Partei Bündnis 90/Die Grünen,Maßnahmen ergreifen,einschränken,SPD,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 51 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Realschulabschluss. ,,Ich bin berufstätig. ,Ich bin etwas religiös. ,,Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 51 Jahre alt. Ich bin weiblich. Ich habe einen Realschulabschluss. Ich bin berufstätig. Ich bin etwas religiös. Ich identifiziere mich mäßig mit der Partei Bündnis 90/Die Grünen. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",5, meine Stimme bei der Bundestagswahl 2017 abgegeben. Meine Zweitstimme galt der Partei,NA,0,0,NA
35,39,weiblich,einen Hochschulabschluss,in Ausbildung,NA,Westdeutschland,NA,in der Mitte,mit der Partei CDU/CSU,mäßig ,mäßig mit der Partei CDU/CSU,Maßnahmen ergreifen,weder erleichtern noch einschränken,CDU/CSU,"finde, die Regierung sollte Maßnahmen ergreifen",Ich bin 39 Jahre alt. ,Ich bin weiblich. ,Ich habe einen Hochschulabschluss. ,,Ich bin in Ausbildung. ,,Politisch-ideologisch ordne ich mich in der Mitte ein. ,Ich identifiziere mich mäßig mit der Partei CDU/CSU. ,Ich lebe in Westdeutschland. ,"Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. ","Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. ","Ich bin 39 Jahre alt. Ich bin weiblich. Ich habe einen Hochschulabschluss. Ich bin in Ausbildung. Politisch-ideologisch ordne ich mich in der Mitte ein. Ich identifiziere mich mäßig mit der Partei CDU/CSU. Ich lebe in Westdeutschland. Ich finde, die Regierung sollte die Einwanderung weder erleichtern noch einschränken. Ich finde, die Regierung sollte Maßnahmen ergreifen, um die Einkommensunterschiede zu verringern. Habe ich bei der Bundestagswahl 2017 gewählt und wenn ja, welcher Partei habe ich meine Zweitstimme gegeben? Ich habe [INSERT]",2, Partei meine Zweitstimme gegeben.,NA,0,0,NA
